                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9882,                 2.5265,                 1.6812,                0.31309,                0.41201,                0.23333,                0.09714,                 2.0504,                 6.5367,                 1.7673,             0.00054178,             0.00054178,             0.00054178
                      2,                 1.6199,                 1.4766,                 1.4496,                0.54035,                0.50165,                 0.4256,                 0.2068,                 1.7194,                 2.1236,                 1.6015,               0.001054,               0.001054,               0.001054
                      3,                 1.6058,                  1.391,                 1.4294,                0.59341,                0.49461,                0.50218,                0.25584,                 1.6567,                 2.7648,                 1.5323,              0.0015222,              0.0015222,              0.0015222
                      4,                 1.5991,                 1.2317,                 1.4183,                 0.5838,                0.56957,                 0.5714,                0.29653,                 1.7532,                 2.0157,                  1.567,               0.001469,               0.001469,               0.001469
                      5,                 1.5512,                 1.1798,                 1.4162,                0.74823,                0.53456,                0.61936,                0.33816,                 1.6216,                 1.4452,                 1.4932,              0.0014029,              0.0014029,              0.0014029
                      6,                 1.4863,                 1.0992,                  1.356,                0.76903,                0.65496,                0.76304,                0.43237,                 1.5051,                 1.1604,                 1.3972,              0.0013369,              0.0013369,              0.0013369
                      7,                 1.4489,                 1.0335,                 1.3324,                 0.7628,                  0.724,                0.76145,                0.43153,                 1.5128,                 1.1737,                 1.4083,              0.0012709,              0.0012709,              0.0012709
                      8,                 1.3889,                0.95862,                 1.3075,                0.83051,                0.73716,                0.81955,                0.45058,                 1.5679,                 1.0037,                 1.4217,              0.0012049,              0.0012049,              0.0012049
                      9,                 1.3674,                0.89626,                  1.298,                0.83955,                0.73456,                0.82326,                0.47306,                 1.4713,                0.95495,                 1.3789,              0.0011389,              0.0011389,              0.0011389
                     10,                 1.3508,                0.87637,                 1.2921,                 0.8305,                0.70752,                0.81815,                0.45745,                 1.5486,                0.99239,                 1.4091,              0.0010729,              0.0010729,              0.0010729
                     11,                 1.3441,                0.86811,                 1.2909,                 0.7826,                0.76488,                0.81313,                 0.4719,                 1.4589,                 0.9628,                 1.3823,              0.0010069,              0.0010069,              0.0010069
                     12,                 1.3077,                0.83839,                 1.2788,                0.80593,                0.79721,                  0.844,                0.48793,                 1.4405,                0.91598,                 1.3576,             0.00094085,             0.00094085,             0.00094085
                     13,                 1.2637,                0.78396,                 1.2356,                0.85976,                 0.7705,                0.85281,                 0.5069,                 1.4465,                0.89046,                 1.3575,             0.00087484,             0.00087484,             0.00087484
                     14,                 1.2597,                0.78834,                 1.2273,                0.85839,                 0.8059,                0.86541,                0.50601,                 1.4945,                0.84687,                  1.365,             0.00080883,             0.00080883,             0.00080883
                     15,                 1.2091,                0.72406,                 1.1839,                0.83421,                0.77919,                0.85628,                0.51386,                 1.4038,                0.87018,                  1.361,             0.00074282,             0.00074282,             0.00074282
                     16,                 1.2013,                 0.6902,                  1.229,                0.83616,                 0.7992,                0.85201,                0.50675,                 1.4125,                 0.8296,                  1.355,              0.0006768,              0.0006768,              0.0006768
                     17,                  1.132,                0.64182,                 1.2025,                0.84889,                0.78591,                0.87096,                0.52831,                 1.3901,                0.80768,                 1.3385,             0.00061079,             0.00061079,             0.00061079
                     18,                 1.1295,                0.64444,                 1.1825,                0.81668,                0.81507,                0.86384,                0.51769,                 1.4054,                0.77795,                 1.3653,             0.00054478,             0.00054478,             0.00054478
                     19,                 1.1068,                0.62763,                 1.1767,                0.87709,                 0.7888,                0.87799,                0.52973,                 1.3737,                0.79201,                 1.3432,             0.00047876,             0.00047876,             0.00047876
                     20,                 1.0575,                0.59487,                 1.1574,                0.88458,                0.78001,                0.87314,                0.54085,                 1.3599,                0.78285,                 1.3425,             0.00041275,             0.00041275,             0.00041275
                     21,                 1.0164,                0.55022,                 1.1197,                0.90675,                0.79572,                0.87722,                0.53777,                 1.3685,                0.77336,                 1.3398,             0.00034674,             0.00034674,             0.00034674
                     22,                 1.0029,                0.53605,                 1.1236,                0.87563,                0.81413,                0.88139,                0.53569,                 1.3672,                0.75231,                 1.3515,             0.00028072,             0.00028072,             0.00028072
                     23,                0.95568,                0.51444,                 1.1034,                0.85655,                 0.8182,                  0.872,                0.54506,                 1.3327,                0.76331,                  1.334,             0.00021471,             0.00021471,             0.00021471
                     24,                0.91965,                0.48578,                 1.0805,                 0.8674,                0.83331,                0.88551,                0.55664,                 1.3175,                0.73776,                 1.3265,              0.0001487,              0.0001487,              0.0001487
                     25,                0.92421,                0.48019,                 1.0801,                 0.8617,                0.83883,                0.88362,                0.56116,                 1.3193,                0.74046,                 1.3273,             8.2683e-05,             8.2683e-05,             8.2683e-05
